[0114/224847.063:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0114/224847.081:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0114/224847.082:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0114/224847.082:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value utility
[0120/153218.472:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0205/181024.747:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0207/124934.210:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0218/005055.462:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0321/201334.952:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0321/201335.055:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0321/201335.055:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0321/201335.055:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0406/105724.417:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0407/210500.647:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0407/210500.759:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0407/210500.759:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0407/210500.759:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value renderer
[0410/165846.838:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0410/165847.029:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0410/165847.029:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0410/165847.029:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0418/012028.061:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0418/084422.284:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0424/145015.507:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0424/203419.727:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0429/165310.083:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0501/001903.195:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0501/001903.252:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0501/001903.252:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0501/001903.252:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0501/205704.173:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0501/222225.954:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0501/222225.955:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0501/222225.955:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0501/222225.955:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0512/084609.676:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0524/204801.053:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0524/204801.129:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0524/204801.129:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0524/204801.129:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0621/221634.679:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0621/221634.816:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0621/221634.816:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0621/221634.816:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0708/182930.282:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0708/182930.308:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0708/182930.308:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0708/182930.308:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0710/180438.662:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0710/180438.685:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0710/180438.685:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0710/180438.685:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0710/184815.696:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0710/184815.696:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0710/184815.696:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0710/184815.696:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0803/095432.274:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0803/095432.342:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0803/095432.342:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0803/095432.342:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0803/095447.006:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0803/095447.006:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0803/095447.006:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0803/095447.006:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0803/095506.661:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0803/095506.662:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0803/095506.662:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0803/095506.662:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[0810/125133.003:ERROR:settings.cc(348)] Settings magic is not 1129342067
[0812/220127.824:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0812/220127.866:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0812/220127.866:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0812/220127.866:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value renderer
[0911/202713.204:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name prod, discarding value OperaDesktopGX
[0911/202713.239:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ver, discarding value 64.0.3417.150
[0911/202713.239:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name channel, discarding value Stable
[0911/202713.239:WARNING:minidump_to_upload_parameters.cc(67)] duplicate annotation name ptype, discarding value browser
[1101/163520.853:ERROR:settings.cc(348)] Settings magic is not 1129342067
[1117/114613.192:ERROR:settings.cc(348)] Settings magic is not 1129342067
[1123/102745.372:ERROR:settings.cc(348)] Settings magic is not 1129342067
[1215/002729.580:ERROR:settings.cc(348)] Settings magic is not 1129342067
